fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,9687,5376,32,32,nan,nan,nan,nan,-1.0635665510516645e-05,0.0,0.0,0.007782101167315175,128.5,0.5,0.0
1,time_ridge,real,9687,5376,32,32,0.004639079846583627,0.004120182362385094,-0.0028384378843633214,-0.004525956464931369,-3.386048611497827e-05,0.004650297619047619,0.018601190476190476,0.024253493100621852,129.0,0.49887882236227826,-0.001912760420585358
1,ridge_last,real,9687,5376,32,32,0.0031353066424344433,0.0022261208796408027,0.02990952740044252,0.03296535648405552,-0.02967835432249366,0.005394345238095238,0.022135416666666668,0.025630884333793465,122.0,0.5182371907096172,0.029381433402071836
1,ridge_context_mean,real,9687,5376,32,32,0.006337796789011918,0.005168928531929851,0.015488868448468366,0.01377694122493267,-1.1638303444942704,0.006324404761904762,0.022321428571428572,0.026397716547289004,127.0,0.5063047093837535,0.009355639200235598
1,longctx_lowrank_transformer,real,9687,5376,32,32,0.001715796786811552,0.0010499291529413313,0.03838441236636451,0.04320373758673668,-0.09323810433370805,0.00427827380952381,0.020647321428571428,0.025359769542871242,121.0,0.5187135270774977,0.03698216200352809
1,longctx_lowrank_transformer,shifted_null,9687,5376,32,32,0.004507499370447476,0.0007351268141064793,0.029773924350565938,0.03015765268355608,-0.10868101830347388,0.004650297619047619,0.02194940476190476,0.026152816536448048,123.0,0.5154353408029879,0.02615576719212141
2,train_mean,real,9751,5374,32,32,nan,nan,nan,nan,-5.9521063467515845e-05,0.0,0.0,0.0077849860140302915,128.5,0.5,0.0
2,time_ridge,real,9751,5374,32,32,0.004335191905738611,0.0037028708029538393,0.005543436278710608,0.009399107191711664,-0.00011727027609298446,0.0033494603647190174,0.018422032005954596,0.023295466512529003,127.0,0.5055856009113951,0.0054645811024956635
2,ridge_last,real,9751,5374,32,32,0.012528459969644246,0.012287924531847239,0.02997748534395115,0.02232489362359047,-0.022044318189499146,0.00446594715295869,0.02195757350204689,0.0263325386298824,125.0,0.514833073125486,0.026542720539998843
2,ridge_context_mean,real,9751,5374,32,32,0.005032567980151725,0.006898918421939015,0.009837291387685871,0.014228181913495064,-1.2299464710735832,0.005210271678451805,0.020468924451060664,0.025514847578635716,126.0,0.5062533960924145,0.008242054605622563
2,longctx_lowrank_transformer,real,9751,5374,32,32,0.01703693958643271,0.013593247625976801,0.05232322751816012,0.049415960907936096,-0.06365781019054428,0.003721622627465575,0.02549311499813919,0.02721909721117264,119.0,0.5284283368148374,0.0517667490090537
2,longctx_lowrank_transformer,shifted_null,9751,5374,32,32,-0.000722049758223875,-0.003231042413972318,-0.003735851312141692,0.002155971131287515,-0.12113297655257282,0.0033494603647190174,0.017305545217714925,0.023233332093015507,128.0,0.49841502948296385,-0.00451642410332224
3,train_mean,real,9470,5376,32,32,nan,nan,nan,nan,-4.063920594243875e-05,0.0,0.0,0.007782101167315175,128.5,0.5,0.0
3,time_ridge,real,9470,5376,32,32,0.004127872653953091,0.004515681182965636,0.01061813056105079,0.013521857094019651,-2.7431464011185014e-05,0.005022321428571429,0.01804315476190476,0.024314119132120116,125.0,0.5067927170868347,0.011099791564325326
3,ridge_last,real,9470,5376,32,32,0.0022515256896440405,-0.0006145860825199634,0.027307735583809473,0.01223711995407939,-0.018536219150440125,0.006882440476190476,0.023065476190476192,0.027518426771781332,126.0,0.5104312558356676,0.02462519507915848
3,ridge_context_mean,real,9470,5376,32,32,0.004553417085844558,0.004970885347574949,0.007824732007306812,0.006147183943539858,-1.3434497863326014,0.0027901785714285715,0.01636904761904762,0.022455201098160755,127.0,0.5009293300653594,0.006050552286666561
3,longctx_lowrank_transformer,real,9470,5376,32,32,0.009239779076779087,0.004684454761445522,0.032774063425706115,0.024659134447574615,-0.07560842987176697,0.006882440476190476,0.02269345238095238,0.027681677777076936,123.0,0.5160043183940243,0.03351401168608409
3,longctx_lowrank_transformer,shifted_null,9470,5376,32,32,0.003108915095339171,0.0023764355573803186,0.0072396123985830245,0.0005294708535075188,-0.10344953707880511,0.004464285714285714,0.017299107142857144,0.023714470690265926,128.0,0.5011824521475257,0.005659121808333633
