fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,9687,5376,32,32,nan,nan,nan,nan,-1.0635665510516645e-05,0.0,0.0,0.007782101167315175,128.5,0.5,0.0
1,time_ridge,real,9687,5376,32,32,0.004639079846583627,0.004120182362385094,-0.0028384378843633214,-0.004525956464931369,-3.386048611497827e-05,0.004650297619047619,0.018601190476190476,0.024253493100621852,129.0,0.49887882236227826,-0.001912760420585358
1,ridge_last,real,9687,5376,32,32,0.013557496868088492,0.008645777590572834,0.02285793900727012,0.01420280709862709,-0.0075865576764182485,0.0033482142857142855,0.022879464285714284,0.025408327878924393,124.0,0.51046845821662,0.02354693127066602
1,ridge_context_mean,real,9687,5376,32,32,0.0079966432404035,0.008615607395768166,0.0037636462761540877,0.00942659331485629,-6.149874614913564e-05,0.005022321428571429,0.021763392857142856,0.025580753613112676,127.0,0.502157008636788,0.003500498144864118
1,longctx_lowrank_transformer,real,9687,5376,32,32,0.01741622731788084,0.01318120863288641,0.027424603343203652,0.01795279234647751,0.001930915926149357,0.005952380952380952,0.026971726190476192,0.029721272905645253,118.0,0.5279936974789916,0.02319317109281343
1,longctx_lowrank_transformer,shifted_null,9687,5376,32,32,0.00027394107564759906,-0.0006122617342043668,6.109999943808881e-05,0.0012242980883456767,-0.0020366214180598252,0.005208333333333333,0.021391369047619048,0.024875095530638634,128.5,0.5015610410831,0.000634993920474811
2,train_mean,real,9751,5374,32,32,nan,nan,nan,nan,-5.9521063467515845e-05,0.0,0.0,0.0077849860140302915,128.5,0.5,0.0
2,time_ridge,real,9751,5374,32,32,0.004335191905738611,0.0037028708029538393,0.005543436278710608,0.009399107191711664,-0.00011727027609298446,0.0033494603647190174,0.018422032005954596,0.023295466512529003,127.0,0.5055856009113951,0.0054645811024956635
2,ridge_last,real,9751,5374,32,32,0.017233527664757275,0.016816405579447746,0.041578193875703176,0.04289444349706173,-0.006874978138969867,0.004279866021585412,0.024190547078526237,0.026531330650806022,119.0,0.5254250395604476,0.03720377106570732
2,ridge_context_mean,real,9751,5374,32,32,0.006547632342517318,0.007067056372761726,0.005720017730868262,0.0033046501921489835,-1.0434232735834215e-05,0.005396352809825084,0.020655005582433942,0.025440500854296152,128.0,0.5028038358181504,0.0037513824063324765
2,longctx_lowrank_transformer,real,9751,5374,32,32,0.01730356279585976,0.013785035349428654,0.021288212620199476,0.015120217110961676,0.0004140224800622816,0.005396352809825084,0.025679196129512468,0.028224042380464383,119.0,0.524396974118614,0.018197250283247486
2,longctx_lowrank_transformer,shifted_null,9751,5374,32,32,-0.01157625184077915,-0.009088216349482536,-0.003164986721888809,-0.002412602072581649,-0.004791019052449608,0.003721622627465575,0.01972459992556755,0.024108714983111713,132.0,0.49355942673916775,-0.0042359657125350504
3,train_mean,real,9470,5376,32,32,nan,nan,nan,nan,-4.063920594243875e-05,0.0,0.0,0.007782101167315175,128.5,0.5,0.0
3,time_ridge,real,9470,5376,32,32,0.004127872653953091,0.004515681182965636,0.01061813056105079,0.013521857094019651,-2.7431464011185014e-05,0.005022321428571429,0.01804315476190476,0.024314119132120116,125.0,0.5067927170868347,0.011099791564325326
3,ridge_last,real,9470,5376,32,32,0.012655258118684287,0.009170499863103032,0.04955199610677953,0.04966551251709461,0.005213874658393625,0.004650297619047619,0.023065476190476192,0.027258661513862328,119.0,0.5273539624183007,0.04550973862034281
3,ridge_context_mean,real,9470,5376,32,32,0.0066871674980575335,0.007736977422609925,0.005041831884804131,0.0008019981905817986,8.114294786509824e-05,0.003720238095238095,0.020647321428571428,0.024709153585789956,125.5,0.5060227736928103,0.008719757668323318
3,longctx_lowrank_transformer,real,9470,5376,32,32,0.018532136337853444,0.014594369102269411,0.028846739468802764,0.019194409251213074,0.0022120597114562157,0.006510416666666667,0.023809523809523808,0.02941190742621616,116.0,0.5354742938842204,0.026600127190357543
3,longctx_lowrank_transformer,shifted_null,9470,5376,32,32,0.0008176429728337098,0.0003498841542750597,0.0004071945014115521,0.002771601779386401,-0.0015696893295262804,0.005022321428571429,0.02194940476190476,0.025332200000997007,128.0,0.49901085434173664,-9.597481266446159e-05
