fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,12568,6287,32,32,nan,nan,nan,nan,-6.86839560781749e-07,0.0,0.0,0.002224340641506349,449.5,0.5,0.0
1,time_ridge,real,12568,6287,32,32,0.0003068175008138496,6.837764158262871e-05,0.006397500756520241,0.006202699616551399,-1.6858789220197679e-06,0.001590583744234134,0.0062032766025131225,0.008724165340529557,445.0,0.5041910376788016,0.004093014317990539
1,ridge_last,real,12568,6287,32,32,0.0004711807832791237,0.0008813912863843143,0.01094137978471746,0.013236606493592262,-0.317970189289861,0.0014315253698107206,0.0062032766025131225,0.008636163645563945,443.0,0.5051297930145923,0.006046498875967219
1,ridge_context_mean,real,12568,6287,32,32,0.001158422134921011,0.0008322579669766128,-0.003131601597568765,-0.0023121351841837168,-0.0003165081576246287,0.0006362334976936536,0.0054079847303960555,0.007905189512861501,446.0,0.503828748645401,0.002492678171539812
1,longctx_lowrank_transformer,real,12568,6287,32,32,0.004916585072351154,0.002999244723469019,0.011530489179946457,0.005407584831118584,-0.01032731963671174,0.0012724669953873072,0.006044218228089709,0.00868322936529924,449.0,0.5035174710595127,0.007947852354378376
1,longctx_lowrank_transformer,shifted_null,12568,6287,32,32,-0.0015655017177778063,-0.0007989778241608292,-0.0036361071534702265,-0.004895495716482401,-0.001864394767906008,0.0006362334976936536,0.004294576109432162,0.007438482574807911,457.0,0.4956861707631882,-0.0019717796435972557
2,train_mean,real,12574,6281,32,32,nan,nan,nan,nan,-1.395455605734952e-06,0.0,0.0,0.0022264630984100437,449.5,0.5,0.0
2,time_ridge,real,12574,6281,32,32,0.00013887253842881364,-0.00014940828668841277,0.006345708740087519,0.011295314878225327,-3.953790883137742e-06,0.001273682534628244,0.007323674574112402,0.009287677349829045,444.0,0.5064161903138161,0.004760236408172926
2,ridge_last,real,12574,6281,32,32,0.0026829396174434805,0.002410548157058656,0.02915706664285051,0.02348051592707634,-0.030470703456148218,0.000636841267314122,0.005731571405827097,0.008111890090054448,439.0,0.5107786867149811,0.02289182230196281
2,ridge_context_mean,real,12574,6281,32,32,0.000688583836563339,0.0014977145474404097,-0.003711244409300289,-0.0018238278571516275,-0.00035002678111872854,0.001273682534628244,0.00652762298996975,0.008569621467774643,450.0,0.499778571810242,-0.0040169328186393976
2,longctx_lowrank_transformer,real,12574,6281,32,32,0.008154227123668534,0.004349330440163612,0.0077668033943458096,0.0012021781876683235,-0.006031275416188864,0.001273682534628244,0.0049355198216844455,0.008514889371096339,448.0,0.5048941614960899,0.010063665446334533
2,longctx_lowrank_transformer,shifted_null,12574,6281,32,32,-0.002782171002763789,-0.0037014188710600138,0.0004649596600477891,0.002764325588941574,-0.0015236049455877865,0.0014328928514567743,0.005572361088998567,0.008470530698791244,438.0,0.5029986130348288,0.00020589392186302872
3,train_mean,real,12568,6287,32,32,nan,nan,nan,nan,-8.398583830615536e-07,0.0,0.0,0.002224340641506349,449.5,0.5,0.0
3,time_ridge,real,12568,6287,32,32,0.0012655853898877467,0.0012760356767103076,0.004880473058262366,0.00946035422384739,-3.839352608281388e-06,0.0009543502465404804,0.006044218228089709,0.00835580491156151,443.0,0.5013168238099767,0.0023122455587800696
3,ridge_last,real,12568,6287,32,32,0.004615231218849658,0.0037630131701007485,0.010255061487765896,0.0066696517169475555,-0.07634774624302842,0.0011134086209638938,0.005726101479242882,0.00877523915574479,440.0,0.5097182205187446,0.013795682476950259
3,ridge_context_mean,real,12568,6287,32,32,0.0016164451792519685,0.0011177597334608436,-0.006198924007611272,-0.007417112588882446,-0.00021236419115000515,0.0009543502465404804,0.004930809607125815,0.007734673151563273,452.0,0.4971624527132996,-0.003954947189558341
3,longctx_lowrank_transformer,real,12568,6287,32,32,0.002997507850977854,0.0029724377673119307,-0.0028417548438577672,-0.0043829092755913734,-0.007202325543866683,0.000795291872117067,0.006362334976936536,0.008066082669196579,451.0,0.49975800342120547,0.0016117465706430567
3,longctx_lowrank_transformer,shifted_null,12568,6287,32,32,0.0009218818540830398,-0.002182717260438949,0.0026578157678190436,0.0042336019687354565,-0.0017121113037918967,0.0009543502465404804,0.005567043104819469,0.00810311747288156,447.0,0.5010698802662616,0.0007061770141718924
