fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,9651,5369,32,32,nan,nan,nan,nan,-1.117512538995058e-05,0.0,0.0,0.0077922075560422676,128.5,0.5,0.0
1,time_ridge,real,9651,5369,32,32,0.004928515274514211,0.004659511032514274,0.0022660148425013276,0.0070668114349246025,-2.9461694210031197e-05,0.004656360588563979,0.018811696777798474,0.024949863912874418,127.0,0.5035938678267426,0.0022811142593031305
1,ridge_last,real,9651,5369,32,32,0.03647248637571465,0.026794531382620335,0.03824088988934768,0.04683583229780197,-0.006727425484771787,0.006705159247532129,0.024213075060532687,0.028883700795706877,118.0,0.5250953729607122,0.038069559115640556
1,ridge_context_mean,real,9651,5369,32,32,0.0065898668295574225,0.006726368330419064,0.00033231043062145033,-0.007737031206488609,-0.00013758466064550667,0.00428385174147886,0.022536785248649657,0.024961812350610436,131.0,0.495878063139613,-0.001096033518135848
1,longctx_lowrank_transformer,real,9651,5369,32,32,0.04152565310141654,0.039118045940995216,0.029594958000077942,0.02316727116703987,0.0013430468877784207,0.005587632706276774,0.029614453343266903,0.030955773590545507,112.0,0.5451846737937115,0.02683355772473243
1,longctx_lowrank_transformer,shifted_null,9651,5369,32,32,-0.004022398436063668,-0.006008398020640016,0.002932816450212153,0.00439691124483943,-0.001847088582316303,0.005587632706276774,0.02160551313093686,0.025405212630614144,127.0,0.5008279544533161,-0.0003017132137336204
2,train_mean,real,9722,5360,32,32,nan,nan,nan,nan,-6.166243772787183e-05,0.0,0.0,0.007805239677001067,128.5,0.5,0.0
2,time_ridge,real,9722,5360,32,32,0.00430035363206116,0.00396506825927645,0.0004260647759015703,-0.004002871573902667,-0.00013325134464214905,0.0035447761194029852,0.018843283582089553,0.023573791334546085,128.0,0.5011017817047547,-0.00025273308345370943
2,ridge_last,real,9722,5360,32,32,0.037456357647897676,0.03661295585334301,0.04250154859048609,0.04955371282994747,-1.4856834676502118e-05,0.0070895522388059705,0.026119402985074626,0.02999026422621952,117.0,0.530666220319618,0.04336899865350399
2,ridge_context_mean,real,9722,5360,32,32,0.006142071119029424,0.006781711941584945,0.005791030153745647,0.007368354592472315,-6.310867827163946e-05,0.005597014925373134,0.024253731343283583,0.02682934186089694,128.0,0.499909486610585,0.00040520716337168953
2,longctx_lowrank_transformer,real,9722,5360,32,32,0.03885681432984711,0.03343007992953062,0.03591560000901127,0.028941892087459564,0.0019566977174511058,0.005970149253731343,0.028358208955223882,0.03142195890597899,109.0,0.5501229466129935,0.03424354573751337
2,longctx_lowrank_transformer,shifted_null,9722,5360,32,32,-0.008364898339095816,-0.007464569993317127,-0.003081373088070056,-0.00271311413962394,-0.0020301930323549655,0.0026119402985074628,0.020149253731343283,0.022605569780505947,128.0,0.4973104034749038,-0.001830855344248249
3,train_mean,real,9440,5363,32,32,nan,nan,nan,nan,-3.7567110376057755e-05,0.0,0.0,0.007800891154228635,128.5,0.5,0.0
3,time_ridge,real,9440,5363,32,32,0.0036945855531484995,0.004668326582759619,0.007595580718130729,0.013553771190345287,-6.846469753307716e-05,0.004475107216110386,0.01957859407048294,0.024576248759005086,124.0,0.5057513923406863,0.009835791206770441
3,ridge_last,real,9440,5363,32,32,0.033235715884075034,0.027317512780427933,0.05636247842341047,0.06180379167199135,-0.0010895823136221061,0.005780346820809248,0.02666418049599105,0.029039354176024663,116.0,0.5341903345513271,0.04755801015300284
3,ridge_context_mean,real,9440,5363,32,32,0.00500989631336779,0.0059867785312235355,0.011647032962875998,0.010652512311935425,1.91918933442059e-05,0.00428864441543912,0.019392131269811673,0.024562299367277864,126.0,0.5035423661423337,0.005913263992176736
3,longctx_lowrank_transformer,real,9440,5363,32,32,0.03714448801292747,0.028540337458252907,0.025971921648516593,0.025037197396159172,0.0014621228248506979,0.006153272422151781,0.027223568898004848,0.03037401439444928,112.0,0.5447723439024367,0.02616618913333517
3,longctx_lowrank_transformer,shifted_null,9440,5363,32,32,-0.008961651931713277,-0.009774310048669577,0.0013870301060293704,0.00299815833568573,-0.0020284197912248114,0.003729256013425322,0.01771396606377028,0.023429260832861978,132.0,0.49431544259843946,-0.0023001661597458886
