fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,9687,5376,32,32,nan,nan,nan,nan,-1.0635665510516645e-05,0.0,0.0,0.007782101167315175,128.5,0.5,0.0
1,time_ridge,real,9687,5376,32,32,0.004639079846583627,0.004120182362385094,-0.0028384378843633214,-0.004525956464931369,-3.386048611497827e-05,0.004650297619047619,0.018601190476190476,0.024253493100621852,129.0,0.49887882236227826,-0.001912760420585358
1,ridge_last,real,9687,5376,32,32,0.0029094277674630575,-0.00024734259204706177,0.02039945897558937,0.023851484060287476,0.0008734268982492077,0.004836309523809524,0.022321428571428572,0.02547191129877478,124.0,0.5105038369514473,0.022283290019538823
1,ridge_context_mean,real,9687,5376,32,32,0.0038475989078960993,0.0034815744729712605,0.0058843326926037096,0.015098769683390856,0.00010389670525889905,0.005208333333333333,0.023251488095238096,0.026303230509149837,127.0,0.5022430847338936,0.004249344509143309
1,longctx_lowrank_transformer,real,9687,5376,32,32,0.007263626210260554,0.0027262867661193013,0.006111014089417007,0.005395211279392242,-0.0012402488311620274,0.004464285714285714,0.02269345238095238,0.025953009058308794,126.0,0.509546422735761,0.004418526469541891
1,longctx_lowrank_transformer,shifted_null,9687,5376,32,32,0.0014847385200482677,0.00029714689298998564,0.0016317477574946657,0.0027734163450077176,-0.0012958147570945044,0.005022321428571429,0.021577380952380952,0.025027350914586938,127.0,0.5016821311858076,0.0005594643411300759
2,train_mean,real,9751,5374,32,32,nan,nan,nan,nan,-5.9521063467515845e-05,0.0,0.0,0.0077849860140302915,128.5,0.5,0.0
2,time_ridge,real,9751,5374,32,32,0.004335191905738611,0.0037028708029538393,0.005543436278710608,0.009399107191711664,-0.00011727027609298446,0.0033494603647190174,0.018422032005954596,0.023295466512529003,127.0,0.5055856009113951,0.0054645811024956635
2,ridge_last,real,9751,5374,32,32,0.005901366436773969,0.004136599716730416,0.015647433659579154,0.016284890472888947,0.0005474362860483639,0.0046520282843319685,0.020096762188314105,0.024825516570421816,126.0,0.5055195661216219,0.011226885999617459
2,ridge_context_mean,real,9751,5374,32,32,0.0013527463961509056,-0.00032103822741191834,0.0034821713037033403,0.0011290038819424808,-7.356462199226144e-05,0.005210271678451805,0.021585411239300335,0.025599104894379554,129.0,0.5019479404901495,0.001058825787655396
2,longctx_lowrank_transformer,real,9751,5374,32,32,0.00868307987730077,0.005417764186859131,0.004834606352052855,0.005337556125596166,-0.0012906292780763273,0.004093784890212133,0.018980275400074433,0.02500147676337999,124.0,0.512402527334515,0.004527776489126568
2,longctx_lowrank_transformer,shifted_null,9751,5374,32,32,-0.009982988671254134,-0.00992563460022211,-0.0002028770215795699,0.0014985307934693992,-0.0018140471416010495,0.004093784890212133,0.019910681056940827,0.024157808289025688,132.0,0.4943661561528015,-0.0033176301760091237
3,train_mean,real,9470,5376,32,32,nan,nan,nan,nan,-4.063920594243875e-05,0.0,0.0,0.007782101167315175,128.5,0.5,0.0
3,time_ridge,real,9470,5376,32,32,0.004127872653953091,0.004515681182965636,0.01061813056105079,0.013521857094019651,-2.7431464011185014e-05,0.005022321428571429,0.01804315476190476,0.024314119132120116,125.0,0.5067927170868347,0.011099791564325326
3,ridge_last,real,9470,5376,32,32,0.0053227492280711886,0.004647792549803853,0.027007726739349265,0.03565662540495396,0.0018064804361508369,0.003162202380952381,0.020647321428571428,0.02484448919286901,123.0,0.5128355508870215,0.021780745264604294
3,ridge_context_mean,real,9470,5376,32,32,0.0018412396075291326,0.0021940693259239197,-0.002428237063772561,-0.006051139673218131,1.693300247573859e-06,0.003162202380952381,0.019903273809523808,0.023227307767824598,129.0,0.5017083916900094,0.0040126470848268845
3,longctx_lowrank_transformer,real,9470,5376,32,32,0.012745999622211457,0.0053327614441514015,0.010670948982219871,0.008186077699065208,-0.0007570406746975067,0.004650297619047619,0.019903273809523808,0.02618504088319668,121.0,0.519327731092437,0.009498768366751125
3,longctx_lowrank_transformer,shifted_null,9470,5376,32,32,-0.0007815731260052416,0.00017311872215941548,0.00031951169496564837,0.0017210026853717864,-0.0013316113147134878,0.004092261904761905,0.021577380952380952,0.024509534264572242,127.0,0.5001896591970121,-0.0005322270229767048
