fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,9687,5376,32,32,nan,nan,nan,nan,-1.0635665510516645e-05,0.0,0.0,0.007782101167315175,128.5,0.5,0.0
1,time_ridge,real,9687,5376,32,32,0.004639079846583627,0.004120182362385094,-0.0028384378843633214,-0.004525956464931369,-3.386048611497827e-05,0.004650297619047619,0.018601190476190476,0.024253493100621852,129.0,0.49887882236227826,-0.001912760420585358
1,ridge_last,real,9687,5376,32,32,0.011902235064553679,0.013376095797866583,0.03534516409661678,0.04562637768685818,4.760726466601639e-05,0.005394345238095238,0.02492559523809524,0.02749679677756464,118.0,0.5242720004668534,0.03775824178178229
1,ridge_context_mean,real,9687,5376,32,32,0.005980154121971282,0.0027874443912878633,0.013101201104100417,0.018742436543107033,-0.26949401725727173,0.006510416666666667,0.024553571428571428,0.02748378184982084,125.0,0.5105859010270775,0.014530264224988447
1,longctx_lowrank_transformer,real,9687,5376,32,32,0.016787003977697168,0.01443101093173027,0.04141587056590995,0.030616601929068565,0.003203795268503562,0.004836309523809524,0.02269345238095238,0.02722440316690108,119.0,0.5270512371615312,0.03713046908517717
1,longctx_lowrank_transformer,shifted_null,9687,5376,32,32,-0.0032488240726706863,-0.0025031616678461432,-4.757771900543162e-05,0.0004425530059961602,-0.003651144383138627,0.004650297619047619,0.018415178571428572,0.023864353114552796,131.0,0.4931751867413632,-0.003471572459940539
2,train_mean,real,9751,5374,32,32,nan,nan,nan,nan,-5.9521063467515845e-05,0.0,0.0,0.0077849860140302915,128.5,0.5,0.0
2,time_ridge,real,9751,5374,32,32,0.004335191905738611,0.0037028708029538393,0.005543436278710608,0.009399107191711664,-0.00011727027609298446,0.0033494603647190174,0.018422032005954596,0.023295466512529003,127.0,0.5055856009113951,0.0054645811024956635
2,ridge_last,real,9751,5374,32,32,0.016560173617108376,0.008590238634496927,0.04285602113122133,0.04918405972421169,0.004202436452405478,0.005582433941198363,0.021027167845180498,0.026628286099955184,118.0,0.5261218595329884,0.040255148455589924
2,ridge_context_mean,real,9751,5374,32,32,0.005383835258953695,0.004937584279105067,0.015275989642926877,0.01727313082665205,-0.19066434103587526,0.00446594715295869,0.019910681056940827,0.02466506637976681,125.0,0.509518467373328,0.012432764720220014
2,longctx_lowrank_transformer,real,9751,5374,32,32,0.015652180127290194,0.007079828763380647,0.041696951057500736,0.030013046227395535,-0.0012477111132387364,0.0046520282843319685,0.0236323036844064,0.027118036259747916,120.0,0.5271364898681038,0.03831150233123799
2,longctx_lowrank_transformer,shifted_null,9751,5374,32,32,-0.0008129701418511104,0.0004641036211978644,-0.0018943974119462288,0.0011881868704222143,-0.0031515976549356672,0.00297729810197246,0.017305545217714925,0.022806763819033106,131.0,0.4973140487345949,-0.0019558993473148436
3,train_mean,real,9470,5376,32,32,nan,nan,nan,nan,-4.063920594243875e-05,0.0,0.0,0.007782101167315175,128.5,0.5,0.0
3,time_ridge,real,9470,5376,32,32,0.004127872653953091,0.004515681182965636,0.01061813056105079,0.013521857094019651,-2.7431464011185014e-05,0.005022321428571429,0.01804315476190476,0.024314119132120116,125.0,0.5067927170868347,0.011099791564325326
3,ridge_last,real,9470,5376,32,32,0.010358952115893771,0.004839396337047219,0.03744984009370271,0.040075162425637245,0.002086687761123862,0.005208333333333333,0.02585565476190476,0.02770085627616677,119.0,0.5253143965919701,0.03999382399991621
3,ridge_context_mean,real,9470,5376,32,32,0.009069813655514736,0.0064882999286055565,0.009746064260309054,0.0008894890197552741,-0.24298790821066385,0.003720238095238095,0.022321428571428572,0.02489247520798939,126.0,0.5089446195144725,0.0143040297866767
3,longctx_lowrank_transformer,real,9470,5376,32,32,0.017119433596235467,0.009023292222991586,0.05389146189185924,0.04129154793918133,0.009073786438805298,0.005022321428571429,0.026971726190476192,0.02858528279365186,116.0,0.5372702205882354,0.05151266673034477
3,longctx_lowrank_transformer,shifted_null,9470,5376,32,32,0.004409922543118228,0.001786359935067594,0.005083072649643752,0.0038155860966071486,-0.002731022371341041,0.005952380952380952,0.02194940476190476,0.026277396674566085,125.5,0.5067270658263305,0.003618039379312867
