fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,12568,6287,32,32,nan,nan,nan,nan,-6.86839560781749e-07,0.0,0.0,0.002224340641506349,449.5,0.5,0.0
1,time_ridge,real,12568,6287,32,32,0.0003068175008138496,6.837764158262871e-05,0.006397500756520241,0.006202699616551399,-1.6858789220197679e-06,0.001590583744234134,0.0062032766025131225,0.008724165340529557,445.0,0.5041910376788016,0.004093014317990539
1,ridge_last,real,12568,6287,32,32,0.002355982947847224,0.004320942214690149,0.004062584230737547,0.010704194195568562,-0.026708130962820986,0.0011134086209638938,0.005726101479242882,0.008060233393872436,446.0,0.4999218173192763,0.00033685101437875366
1,ridge_context_mean,real,12568,6287,32,32,0.00015745296423119726,0.000707153114490211,-0.007963402289937015,-0.004639831837266684,-13.03635816435259,0.0012724669953873072,0.005726101479242882,0.008327173976553094,448.0,0.5015218544513401,0.0014107913387868783
1,longctx_lowrank_transformer,real,12568,6287,32,32,0.002288106956257252,0.0017037918441928923,0.009849966973584865,0.009640049189329147,-0.031654999239793424,0.0011134086209638938,0.004930809607125815,0.007945851375012372,439.0,0.5064056779130155,0.008164835482205498
1,longctx_lowrank_transformer,shifted_null,12568,6287,32,32,0.00048064494671962166,0.0015088935033418238,-0.0013368989434051242,-0.003534389194101095,-0.0025589144438300515,0.000795291872117067,0.005885159853666296,0.00832334795123529,451.0,0.5002414748791111,0.0004243834112963017
2,train_mean,real,12574,6281,32,32,nan,nan,nan,nan,-1.395455605734952e-06,0.0,0.0,0.0022264630984100437,449.5,0.5,0.0
2,time_ridge,real,12574,6281,32,32,0.00013887253842881364,-0.00014940828668841277,0.006345708740087519,0.011295314878225327,-3.953790883137742e-06,0.001273682534628244,0.007323674574112402,0.009287677349829045,444.0,0.5064161903138161,0.004760236408172926
2,ridge_last,real,12574,6281,32,32,0.0037130138698557857,0.002229847596026957,0.024058820831710705,0.004514947533607483,-0.005354363159413733,0.001910523801942366,0.0074828848909409326,0.009651976665072249,440.0,0.5116889278117102,0.024474154932252697
2,ridge_context_mean,real,12574,6281,32,32,0.00472530564184126,0.0025824395706877112,0.0001477259248102726,-0.00441030552610755,0.0009756560443811013,0.0017513134851138354,0.0054131507721700365,0.008798221764094671,451.0,0.4998364830890823,0.0034709837310976286
2,longctx_lowrank_transformer,real,12574,6281,32,32,0.00613293867718312,0.0003298225346952677,0.019217157260764603,0.010334514081478119,-0.0012000918209789102,0.0011144722177997134,0.005890781722655628,0.008850857958464128,438.0,0.5109869182754877,0.019286395038643506
2,longctx_lowrank_transformer,shifted_null,12574,6281,32,32,-0.001973014644590876,-0.00012960517051396891,-0.002843422501175281,-0.005493759643286467,-0.0022524979236784315,0.000636841267314122,0.005572361088998567,0.007971021437430583,458.0,0.49630917527005053,-0.0015410791602629421
3,train_mean,real,12568,6287,32,32,nan,nan,nan,nan,-8.398583830615536e-07,0.0,0.0,0.002224340641506349,449.5,0.5,0.0
3,time_ridge,real,12568,6287,32,32,0.0012655853898877467,0.0012760356767103076,0.004880473058262366,0.00946035422384739,-3.839352608281388e-06,0.0009543502465404804,0.006044218228089709,0.00835580491156151,443.0,0.5013168238099767,0.0023122455587800696
3,ridge_last,real,12568,6287,32,32,0.0041307424144179095,0.0017944335704669356,0.03255486009684265,0.02581535279750824,-0.011314392167192766,0.0019087004930809608,0.006521393351359949,0.009549468815688715,427.0,0.5184491504517754,0.032964782223681585
3,ridge_context_mean,real,12568,6287,32,32,0.004249747857784314,0.0018945641932077706,-0.0032180828723937568,-0.0029842727817595005,0.00034992099632158435,0.0006362334976936536,0.007634801972323843,0.008959749999685225,447.0,0.5028586213276421,0.0032281896096657487
3,longctx_lowrank_transformer,real,12568,6287,32,32,0.0015603216024828725,-0.002311240998096764,0.01835448156160954,0.013156237080693245,-0.016767592648527563,0.0009543502465404804,0.004135517735008748,0.008066107519484984,435.0,0.5124570431503191,0.017848856692152075
3,longctx_lowrank_transformer,shifted_null,12568,6287,32,32,0.000771934624935966,-0.0003482400788925588,-6.914625141108792e-05,-0.0006554467836394906,-0.002215426434794665,0.0009543502465404804,0.006044218228089709,0.008198081093932923,448.0,0.4995660094467427,0.0004893863704025677
