fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,12512,6259,32,32,nan,nan,nan,nan,-6.899568500973174e-07,0.0,0.0,0.002234280242197445,447.5,0.5,0.0
1,time_ridge,real,12512,6259,32,32,0.0007550049067504006,0.0006717864598613232,0.002396506332903886,0.0025836238637566566,-8.154035500140822e-07,0.0015976993129892955,0.005751717526761463,0.00840728747969513,448.0,0.5023505217198848,0.001386996141891596
1,ridge_last,real,12512,6259,32,32,0.00893909013643679,0.009835348464548588,0.009726132453336091,0.0024665009696036577,-0.06788284733400052,0.0011183895190925068,0.005751717526761463,0.008753199093563724,440.0,0.508084463950723,0.011502285074176001
1,ridge_context_mean,real,12512,6259,32,32,5.260845620114196e-05,-5.608438004855998e-05,-0.007678635592793932,-0.006265897769480944,-17.065635469703178,0.0009586195877935772,0.005591947595462534,0.008076414011793806,445.0,0.5013494389473998,0.0013818060556203917
1,longctx_lowrank_transformer,real,12512,6259,32,32,0.020711431759991683,0.018981343135237694,0.02478599672399513,0.02364194206893444,-0.022157650624166303,0.0017574692442882249,0.006231027320658252,0.00989118995637609,421.0,0.5207531084766884,0.026305507473271702
1,longctx_lowrank_transformer,shifted_null,12512,6259,32,32,0.0015402369663206628,0.0032031830633059144,0.00043826284363612637,0.0008361715590581298,-0.0029374599276197344,0.0017574692442882249,0.00687010704585397,0.009042277012909158,449.0,0.5009776835026141,0.0009539484715202102
2,train_mean,real,12518,6253,32,32,nan,nan,nan,nan,-1.6364343218278066e-06,0.0,0.0,0.0022364217192173035,447.5,0.5,0.0
2,time_ridge,real,12518,6253,32,32,2.5495074623904657e-05,-0.00042274723818991333,-0.00746292364321507,-0.0036004146095365286,-8.649724272613568e-06,0.0019190788421557653,0.00719654565808412,0.009451660152899541,450.0,0.4972287940962627,-0.0049709328910642345
2,ridge_last,real,12518,6253,32,32,0.010761154192550748,0.013313834555447102,0.01971634474861188,0.028202245011925697,-0.06646074088862597,0.0015992323684631377,0.008156085079162002,0.009314715241780767,424.0,0.5115730934388889,0.019293390480275945
2,ridge_context_mean,real,12518,6253,32,32,0.0016842725249262003,0.0009435772662982345,-0.008910397543555338,-0.02095731720328331,-3.2526275875241053,0.0007996161842315689,0.005117543579082041,0.007912478712482202,448.0,0.49980924044861813,0.0018044990977544868
2,longctx_lowrank_transformer,real,12518,6253,32,32,0.01393336227920372,0.010583712719380856,0.021243208010603445,0.03200194239616394,-0.0635703303236188,0.0019190788421557653,0.00719654565808412,0.009797585449676089,426.0,0.5142096755369318,0.0229922949556911
2,longctx_lowrank_transformer,shifted_null,12518,6253,32,32,-0.0021151497167011257,-0.003367953351698816,-0.0030888846061109753,-0.0040111420676112175,-0.002404857124088222,0.0015992323684631377,0.005917159763313609,0.008354022687444677,455.0,0.49253710217130103,-0.0033291546557668223
3,train_mean,real,12512,6259,32,32,nan,nan,nan,nan,-1.0845009392745908e-06,0.0,0.0,0.002234280242197445,447.5,0.5,0.0
3,time_ridge,real,12512,6259,32,32,0.0012574997113006248,0.0013506835675798357,-0.0018405314890223654,-0.0032855579629540443,-1.084500939185773e-05,0.0011183895190925068,0.005751717526761463,0.008082084665892709,446.0,0.4997614798241492,0.0006501044447752638
3,ridge_last,real,12512,6259,32,32,0.013722527368372539,0.01225989731028676,0.02050722845906656,0.017761657014489174,-0.07959357242803367,0.0009586195877935772,0.00687010704585397,0.009317912936214735,430.0,0.5160523006866705,0.021189387791278987
3,ridge_context_mean,real,12512,6259,32,32,0.0012398638184549782,0.0013641822151839733,-0.009575213155980613,-0.010226024314761162,-3.426026190938681,0.0007988496564946477,0.00687010704585397,0.008804629927696393,449.0,0.5000430735725835,-0.0006361608230982753
3,longctx_lowrank_transformer,real,12512,6259,32,32,0.021907681146331015,0.016023102216422558,0.031153375440931417,0.041878923773765564,-0.0324441710966521,0.0011183895190925068,0.0071896469084518294,0.009374763833391747,419.0,0.5246519305172737,0.0296669932495259
3,longctx_lowrank_transformer,shifted_null,12512,6259,32,32,-0.0020586270302374032,-0.0006643657252425328,-0.0017226465044988875,-0.0031227930448949337,-0.0027293273635975446,0.0007988496564946477,0.004952867870266816,0.007803316166030804,455.0,0.49571780513196356,-0.0017735746513546174
