fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,time_residual,4902,1906,64,16,nan,nan,nan,nan,-0.000633841331799001,0.0,0.0,0.024841034984992082,32.5,0.5,0.0
1,time_ridge,time_residual,4902,1906,64,16,-0.04753886890557624,-0.049473000690340996,-0.012571278961177096,-0.01384034100919962,-0.000633841331799001,0.009968520461699895,0.0540398740818468,0.0580686403909176,42.0,0.4893501690335766,0.009214146054394856
1,ridge_last,time_residual,4902,1906,64,16,0.021332897515776494,0.022415547631680965,0.05213328275451141,0.05630198493599892,-0.016330480324371344,0.018363064008394544,0.07817418677859392,0.07242278688870839,36.0,0.5358230393480661,0.05888887271864183
1,ridge_context_mean,time_residual,4902,1906,64,16,0.051547610988563974,0.05156462453305721,0.10286465424329629,0.10965119302272797,0.003835841862053324,0.021511017838405037,0.10598111227701994,0.08553895434680174,33.0,0.5752364851903401,0.11670145960647166
1,longctx_lowrank_transformer,time_residual,4902,1906,64,16,0.027288097215205198,0.02563986275345087,0.040455912972329686,0.04005079343914986,-0.0026876225866139247,0.020461699895068207,0.0844700944386149,0.0785100417760148,32.0,0.5695355480324826,0.044852641386245874
1,longctx_lowrank_transformer,time_residual_shifted_null,4902,1906,64,16,-0.0026354085548518924,0.0014264368801377714,-0.007852983167307348,-0.01061376603320241,-0.009245529275730968,0.008919202518363064,0.059286463798530954,0.058253985369689565,41.0,0.4931965380134651,-0.009360972668951155
2,train_mean,time_residual,4939,1824,64,16,nan,nan,nan,nan,-0.00031735019418555055,0.0,0.0,0.025916707611987663,32.5,0.5,0.0
2,time_ridge,time_residual,4939,1824,64,16,-0.048922244021014194,-0.04864366725087166,-0.034499092026206664,-0.027680846862494946,-0.0003174425008154458,0.013706140350877192,0.05317982456140351,0.058642882324795184,41.0,0.47406731418721987,-0.02058956469346908
2,ridge_last,time_residual,4939,1824,64,16,0.021002922946536273,0.021090933121740818,0.04719670408099263,0.06460157036781311,-0.009332292606848203,0.009868421052631578,0.0762061403508772,0.06597611880016047,35.0,0.5318493265759155,0.04330066096405161
2,ridge_context_mean,time_residual,4939,1824,64,16,0.04444293999040383,0.037406837567687035,0.06068959684639515,0.07677964866161346,-0.025277062965490815,0.020833333333333332,0.08881578947368421,0.07757830245617803,34.0,0.5378871681508117,0.06800224421205663
2,longctx_lowrank_transformer,time_residual,4939,1824,64,16,0.021959949127449363,0.022446975111961365,0.030228360440735725,0.025897881016135216,-0.003712388048211279,0.01699561403508772,0.0805921052631579,0.0746958345550124,34.0,0.5450640074896982,0.029351341078756383
2,longctx_lowrank_transformer,time_residual_shifted_null,4939,1824,64,16,0.007043003522682056,0.005113520193845034,0.004797915980269975,0.0028044349746778607,-0.007843478970426698,0.013706140350877192,0.06853070175438597,0.06638387047603274,37.0,0.5050879003861899,0.009114294004363121
3,train_mean,time_residual,4896,1852,64,16,nan,nan,nan,nan,-0.0001162701072168204,0.0,0.0,0.025538106178560623,32.5,0.5,0.0
3,time_ridge,time_residual,4896,1852,64,16,-0.053492893635848304,-0.0486556701362133,-0.03817318225896634,-0.036844948306679726,-0.00011618301350346805,0.0091792656587473,0.052915766738660906,0.0549558411980885,43.0,0.46995373965331894,-0.026202935825361054
3,ridge_last,time_residual,4896,1852,64,16,0.02127218895839178,0.02301225159317255,0.05759177313507329,0.06649284809827805,-0.0018382870060098533,0.01511879049676026,0.07991360691144708,0.07185531219180076,35.0,0.5417003877167496,0.06040585320388065
3,ridge_context_mean,time_residual,4896,1852,64,16,0.04297069270023712,0.03456828184425831,0.0759174250972636,0.07433760538697243,-0.0017719215964975277,0.021058315334773217,0.08639308855291576,0.07851348141437588,34.0,0.5499427759254413,0.08217079157365607
3,longctx_lowrank_transformer,time_residual,4896,1852,64,16,0.025076189106584934,0.022852551192045212,0.031234811388719443,0.033116042613983154,-0.0028801020041568925,0.020518358531317494,0.0939524838012959,0.08040737468836168,34.0,0.5482157130466684,0.03628711621218062
3,longctx_lowrank_transformer,time_residual_shifted_null,4896,1852,64,16,-0.01735104254248654,-0.01665310747921467,-0.016618284060883844,-0.022810171358287334,-0.012419563512437115,0.010259179265658747,0.04859611231101512,0.053522163502959706,43.0,0.46823274435140405,-0.018820297895917718
