fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,real,16466,7283,64,16,nan,nan,nan,nan,-4.0011415579188636e-05,0.0,0.0,0.012243015172201313,128.5,0.5,0.0
1,time_ridge,real,16466,7283,64,16,0.012195842962228198,0.009280771482735872,0.025364708510886458,0.028448866680264473,0.0005072537283149492,0.008787587532610188,0.03762185912398737,0.039655533916712886,92.0,0.5232791623785481,0.05961781037653408
1,ridge_last,real,16466,7283,64,16,0.00844924171360617,0.008483460173010826,0.02822772240476065,0.023654211312532425,0.0008870777349746506,0.006316078539063573,0.0373472470135933,0.03671996670836911,90.0,0.5149533989328638,0.021634314262456624
1,ridge_context_mean,real,16466,7283,64,16,0.008472366951139065,0.008801165036857128,0.0176438241605789,0.017950844019651413,0.00018261134219332842,0.006727996704654675,0.03501304407524372,0.03573103128048783,92.0,0.5041022725923046,0.010031948571531736
1,longctx_lowrank_transformer,real,16466,7283,64,16,0.009753879078971295,0.0058961540926247835,0.00786518314986042,0.006684320047497749,-0.0010606817679736924,0.00851297542221612,0.0377591651791844,0.03774331238597606,87.0,0.518882376970833,0.006443304891073204
1,longctx_lowrank_transformer,shifted_null,16466,7283,64,16,0.0010042373692158435,0.0003406896285014227,0.0038155727043021606,0.00444387411698699,-0.0014938859333326615,0.007002608815048743,0.03048194425374159,0.035035160385800776,91.0,0.5048278522928574,0.0017695634283771365
2,train_mean,real,16490,7244,64,16,nan,nan,nan,nan,-2.8770406759637268e-05,0.0,0.0,0.012306342016811706,128.5,0.5,0.0
2,time_ridge,real,16490,7244,64,16,0.014899009020155063,0.013721362687647343,0.02748706579594056,0.031240596435964108,0.000511483887673192,0.005935946990612921,0.03851463279955825,0.03709542738830328,92.0,0.5184727259185519,0.0642591602128055
2,ridge_last,real,16490,7244,64,16,0.012909386980936688,0.012204668950289488,0.02373356163087011,0.02624778263270855,0.0012234615474523425,0.00800662617338487,0.03589177250138045,0.03724580133406266,89.0,0.515645703437217,0.02292748423766863
2,ridge_context_mean,real,16490,7244,64,16,0.011365927708588686,0.010049678385257721,0.01509444837499014,0.015099650248885155,0.0002720601589205618,0.006350082827167311,0.0353395913859746,0.03540003492115341,91.0,0.507898926681482,0.013986359211413748
2,longctx_lowrank_transformer,real,16490,7244,64,16,0.010046728608131161,0.008172374684363604,0.007179243655732527,0.006454469636082649,-0.0009667755746438633,0.007730535615681944,0.032716731087796797,0.03632627250626395,86.0,0.5166088685765963,0.005418070212333216
2,longctx_lowrank_transformer,shifted_null,16490,7244,64,16,-0.00207980170830524,-0.0014612519880756736,0.002826491350765549,0.0019195733475498855,-0.0012901729281260543,0.005383765875207068,0.03078409718387631,0.03338500527668725,95.0,0.4977681665132671,-0.00047790984145982125
3,train_mean,real,16402,7272,64,16,nan,nan,nan,nan,-7.128727146588076e-05,0.0,0.0,0.012262817379756494,128.5,0.5,0.0
3,time_ridge,real,16402,7272,64,16,0.012352280871709809,0.008834420703351498,0.02738904414513329,0.02978276927024126,0.00036187881485050255,0.007563256325632563,0.04111661166116612,0.039066946923072,92.0,0.5179824807749716,0.06269656760762102
3,ridge_last,real,16402,7272,64,16,0.009406283437783713,0.009172833524644375,0.03371570655191006,0.03389196842908859,0.0018772017417291176,0.006600660066006601,0.032315731573157314,0.03649652300533579,87.0,0.5199965870377146,0.02499608748851367
3,ridge_context_mean,real,16402,7272,64,16,0.008056411461438984,0.008080665953457355,0.012600524959219615,0.011203095316886902,9.992708891348734e-06,0.006738173817381738,0.034515951595159515,0.036093114065539514,93.0,0.5060722878446019,0.015750592430008488
3,longctx_lowrank_transformer,real,16402,7272,64,16,0.011279123300710125,0.008592887315899134,0.004871797519295173,0.004572517005726695,-0.001024520323207101,0.005638063806380638,0.033003300330033,0.035402525891293044,87.0,0.5169268978425456,0.004258526548452925
3,longctx_lowrank_transformer,shifted_null,16402,7272,64,16,-0.0026737012537978444,-0.003410760429687798,0.0046163839134454885,0.002239058376289904,-0.002009605134539294,0.005775577557755775,0.031215621562156216,0.03378018149057576,93.0,0.5010450171367066,8.127929439202634e-06
