fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag
1,train_mean,time_residual,16466,7283,64,16,nan,nan,nan,nan,-6.175891085735685e-05,0.0,0.0,0.012243015172201313,128.5,0.5,0.0
1,time_ridge,time_residual,16466,7283,64,16,-0.006706578797093243,-0.008541611954569817,-0.039892568752542185,-0.020814208313822746,-0.00029921291066714595,0.004943017987093231,0.02718659892901277,0.03076604335579164,103.0,0.4828366630703965,0.011577015565690242
1,ridge_last,time_residual,16466,7283,64,16,0.007776088692480698,0.007369119208306074,0.025625522597066512,0.021925579756498337,0.000827246855110042,0.007002608815048743,0.03556226829603185,0.03635766675731822,91.0,0.5132023683072908,0.019950934597636114
1,ridge_context_mean,time_residual,16466,7283,64,16,0.008055611824715925,0.008207528851926327,0.014236704458627512,0.014356642961502075,0.0001310123746453007,0.006727996704654675,0.032953453247288204,0.03518902064291225,95.0,0.5016146912602881,0.008080969838534801
1,longctx_lowrank_transformer,time_residual,16466,7283,64,16,0.008775320166478195,0.006269193720072508,0.004694258073973497,0.003521648235619068,-0.0011191549483640095,0.0074145269806398465,0.03515035013044075,0.03651820007257847,88.0,0.5148445864362051,0.004119612480857739
1,longctx_lowrank_transformer,time_residual_shifted_null,16466,7283,64,16,0.00045992509649295243,-0.0007280107383849099,0.0021146742746605907,0.0025011729449033737,-0.0015369525572979104,0.006727996704654675,0.03075655636413566,0.0345182745020168,93.0,0.5025754341502561,0.0011238534142991325
2,train_mean,time_residual,16490,7244,64,16,nan,nan,nan,nan,-4.263979172347554e-05,0.0,0.0,0.012306342016811706,128.5,0.5,0.0
2,time_ridge,time_residual,16490,7244,64,16,-0.0025798188653425314,-0.0028331055073067546,-0.03125541628842703,-0.018063724040985107,-0.0002266925635934225,0.0033130866924351186,0.026780784097183877,0.029783423146384404,103.0,0.4808337883451908,0.01938553766018434
2,ridge_last,time_residual,16490,7244,64,16,0.011949164508905596,0.01154230022802949,0.01959479427325653,0.017726346850395203,0.0008618815284872072,0.007730535615681944,0.036858089453340695,0.037173135910106424,90.0,0.5133538244202969,0.019949692407534553
2,ridge_context_mean,time_residual,16490,7244,64,16,0.009690452115364678,0.0086398059502244,0.0067447215210422315,0.007190783740952611,7.151610637168293e-05,0.006073992269464384,0.0311982330204307,0.03441563490063678,91.0,0.5061147795851202,0.009836117310774424
2,longctx_lowrank_transformer,time_residual,16490,7244,64,16,0.007417339064147654,0.006101841339841485,0.004651412273283511,0.003439305815845728,-0.001079218525964043,0.006626173384870237,0.03244064053009387,0.03444812131101365,89.0,0.5111475805939035,0.0030505523374515873
2,longctx_lowrank_transformer,time_residual_shifted_null,16490,7244,64,16,-0.0015376974028527002,-0.0010483236983418465,0.0024842844259220704,0.0013389887753874063,-0.0013015931359650068,0.005935946990612921,0.029403644395361677,0.033078048818650785,94.0,0.4980770642098215,-0.00017606766562581994
3,train_mean,time_residual,16402,7272,64,16,nan,nan,nan,nan,-7.319274613459825e-05,0.0,0.0,0.012262817379756494,128.5,0.5,0.0
3,time_ridge,time_residual,16402,7272,64,16,-0.00566518295363494,-0.0066956947557628155,-0.03830128533371992,-0.023183969780802727,-0.00036069742332967003,0.004537953795379538,0.02709020902090209,0.031004826199486378,103.0,0.4797995277860602,0.014537117230302083
3,ridge_last,time_residual,16402,7272,64,16,0.008686100309773792,0.008443453349173069,0.029762094055736564,0.03249724209308624,0.0016942335541254572,0.007975797579757976,0.03149064906490649,0.03690317364922573,87.0,0.5190967205291621,0.022649523387495183
3,ridge_context_mean,time_residual,16402,7272,64,16,0.00730501606881262,0.007591163041070104,0.005185738779436688,0.005347513128072023,-5.587641351256778e-05,0.006463146314631463,0.03602860286028603,0.03596430723137804,93.0,0.5056924514807899,0.014005082009909043
3,longctx_lowrank_transformer,time_residual,16402,7272,64,16,0.008986563187136198,0.004990329500287771,0.003175755935926375,0.002074960502795875,-0.001072720028105989,0.006875687568756876,0.033278327832783276,0.03551686340026656,88.0,0.5139565547447641,0.0029226958905665674
3,longctx_lowrank_transformer,time_residual_shifted_null,16402,7272,64,16,-0.0028978784155242465,-0.004262226866558194,0.001986353185970941,0.0005951441125944257,-0.0019754900700650335,0.00605060506050605,0.03052805280528053,0.03381377594450345,92.0,0.5007129907143232,1.0454371297722674e-05
