dataset_name,fold,lag,mode,n_test_seq,n_train_seq,target_space,target_variance_retained
affective,1,-8,tf,5376,11625,pca32,0.8495824337005615
affective,2,-8,tf,5376,11655,pca32,0.8470141887664795
affective,3,-8,tf,5376,11520,pca32,0.846868634223938
affective,1,-7,tf,5376,11625,pca32,0.8495745062828064
affective,2,-7,tf,5376,11655,pca32,0.8470036387443542
affective,3,-7,tf,5376,11520,pca32,0.8468613028526306
affective,1,-6,tf,5376,11625,pca32,0.8495782017707825
affective,2,-6,tf,5376,11655,pca32,0.84700608253479
affective,3,-6,tf,5376,11520,pca32,0.8468660116195679
affective,1,-5,tf,5376,11625,pca32,0.8495810031890869
affective,2,-5,tf,5376,11655,pca32,0.847008466720581
affective,3,-5,tf,5376,11520,pca32,0.8468701839447021
affective,1,-4,tf,5376,11625,pca32,0.8495804071426392
affective,2,-4,tf,5376,11655,pca32,0.847009003162384
affective,3,-4,tf,5376,11520,pca32,0.8468698859214783
affective,1,-3,tf,5376,11625,pca32,0.8495526909828186
affective,2,-3,tf,5376,11655,pca32,0.8469847440719604
affective,3,-3,tf,5376,11520,pca32,0.8468377590179443
affective,1,-2,tf,5376,11625,pca32,0.8495275974273682
affective,2,-2,tf,5376,11655,pca32,0.8469657301902771
affective,3,-2,tf,5376,11520,pca32,0.846815824508667
affective,1,-1,tf,5376,11625,pca32,0.8495091795921326
affective,2,-1,tf,5376,11655,pca32,0.8469484448432922
affective,3,-1,tf,5376,11520,pca32,0.8467957377433777
affective,1,0,tf,5376,11625,pca32,0.8494926691055298
affective,2,0,tf,5376,11655,pca32,0.846934974193573
affective,3,0,tf,5376,11520,pca32,0.846779465675354
affective,1,1,tf,5376,11625,pca32,0.849797248840332
affective,2,1,tf,5376,11655,pca32,0.8470003604888916
affective,3,1,tf,5376,11520,pca32,0.8471083045005798
affective,1,2,tf,5376,11625,pca32,0.8499178886413574
affective,2,2,tf,5376,11655,pca32,0.8471676111221313
affective,3,2,tf,5376,11520,pca32,0.8471981287002563
affective,1,3,tf,5376,11625,pca32,0.8498061895370483
affective,2,3,tf,5376,11655,pca32,0.8472945094108582
affective,3,3,tf,5376,11520,pca32,0.8473519086837769
affective,1,4,tf,5376,11625,pca32,0.8501798510551453
affective,2,4,tf,5376,11655,pca32,0.8475545644760132
affective,3,4,tf,5376,11520,pca32,0.8475311398506165
affective,1,5,tf,5376,11625,pca32,0.8504869937896729
affective,2,5,tf,5376,11655,pca32,0.847669780254364
affective,3,5,tf,5376,11520,pca32,0.8478277921676636
affective,1,6,tf,5376,11625,pca32,0.8506390452384949
affective,2,6,tf,5376,11655,pca32,0.847572922706604
affective,3,6,tf,5376,11520,pca32,0.8482600450515747
affective,1,7,tf,5376,11625,pca32,0.8507242202758789
affective,2,7,tf,5376,11655,pca32,0.8477394580841064
affective,3,7,tf,5376,11520,pca32,0.8483495116233826
affective,1,8,tf,5376,11625,pca32,0.8508697748184204
affective,2,8,tf,5376,11655,pca32,0.8478740453720093
affective,3,8,tf,5376,11520,pca32,0.8485466241836548
experience,1,-8,tf,1824,4788,pca32,0.8764780759811401
experience,2,-8,tf,1712,4945,pca32,0.8758723139762878
experience,3,-8,tf,1789,4793,pca32,0.8752170205116272
experience,1,-7,tf,1827,4801,pca32,0.8766655921936035
experience,2,-7,tf,1718,4955,pca32,0.8760544061660767
experience,3,-7,tf,1794,4804,pca32,0.8752122521400452
experience,1,-6,tf,1888,4822,pca32,0.8761084675788879
experience,2,-6,tf,1788,4877,pca32,0.8766539096832275
experience,3,-6,tf,1824,4826,pca32,0.8762673735618591
experience,1,-5,tf,1891,4836,pca32,0.8761014938354492
experience,2,-5,tf,1794,4888,pca32,0.8766231536865234
experience,3,-5,tf,1829,4838,pca32,0.8762621283531189
experience,1,-4,tf,1894,4850,pca32,0.8760701417922974
experience,2,-4,tf,1800,4899,pca32,0.8766248226165771
experience,3,-4,tf,1834,4850,pca32,0.8762500882148743
experience,1,-3,tf,1897,4864,pca32,0.8760532140731812
experience,2,-3,tf,1806,4910,pca32,0.8765934705734253
experience,3,-3,tf,1839,4862,pca32,0.8762478828430176
experience,1,-2,tf,1900,4878,pca32,0.8760464191436768
experience,2,-2,tf,1812,4921,pca32,0.8766092658042908
experience,3,-2,tf,1844,4874,pca32,0.8762264251708984
experience,1,-1,tf,1903,4890,pca32,0.8760906457901001
experience,2,-1,tf,1818,4930,pca32,0.8766221404075623
experience,3,-1,tf,1848,4885,pca32,0.8762257099151611
experience,1,0,tf,1906,4902,pca32,0.8762075901031494
experience,2,0,tf,1824,4939,pca32,0.8767125606536865
experience,3,0,tf,1852,4896,pca32,0.8762297630310059
experience,1,1,tf,1903,4890,pca32,0.8763319253921509
experience,2,1,tf,1818,4930,pca32,0.8770607709884644
experience,3,1,tf,1848,4885,pca32,0.8763646483421326
experience,1,2,tf,1900,4878,pca32,0.8764304518699646
experience,2,2,tf,1812,4921,pca32,0.8774536848068237
experience,3,2,tf,1844,4874,pca32,0.8764838576316833
experience,1,3,tf,1897,4864,pca32,0.8764153718948364
experience,2,3,tf,1806,4910,pca32,0.8775399327278137
experience,3,3,tf,1839,4862,pca32,0.8763121962547302
experience,1,4,tf,1894,4850,pca32,0.876474142074585
experience,2,4,tf,1800,4899,pca32,0.8780101537704468
experience,3,4,tf,1834,4850,pca32,0.876340389251709
experience,1,5,tf,1891,4836,pca32,0.8766531944274902
experience,2,5,tf,1794,4888,pca32,0.878371000289917
experience,3,5,tf,1829,4838,pca32,0.8763417601585388
experience,1,6,tf,1888,4822,pca32,0.8767997622489929
experience,2,6,tf,1788,4877,pca32,0.8786032199859619
experience,3,6,tf,1824,4826,pca32,0.8766064643859863
experience,1,7,tf,1827,4801,pca32,0.8770826458930969
experience,2,7,tf,1718,4955,pca32,0.878158688545227
experience,3,7,tf,1794,4804,pca32,0.8759168386459351
experience,1,8,tf,1824,4788,pca32,0.8769543170928955
experience,2,8,tf,1712,4945,pca32,0.8782490491867065
experience,3,8,tf,1789,4793,pca32,0.8759807348251343
xp2,1,-8,tf,1046,3617,pca32,0.7879385948181152
xp2,2,-8,tf,941,3767,pca32,0.7925673127174377
xp2,3,-8,tf,1025,3668,pca32,0.7884453535079956
xp2,1,-7,tf,1048,3632,pca32,0.787826657295227
xp2,2,-7,tf,948,3777,pca32,0.792486846446991
xp2,3,-7,tf,1028,3682,pca32,0.7883923053741455
xp2,1,-6,tf,1050,3647,pca32,0.7878003120422363
xp2,2,-6,tf,955,3787,pca32,0.7924532294273376
xp2,3,-6,tf,1031,3696,pca32,0.7882752418518066
xp2,1,-5,tf,1052,3662,pca32,0.7876521348953247
xp2,2,-5,tf,962,3797,pca32,0.7923540472984314
xp2,3,-5,tf,1034,3710,pca32,0.7882310152053833
xp2,1,-4,tf,1054,3677,pca32,0.7875641584396362
xp2,2,-4,tf,969,3807,pca32,0.7923219203948975
xp2,3,-4,tf,1037,3724,pca32,0.7881403565406799
xp2,1,-3,tf,1056,3692,pca32,0.7876936793327332
xp2,2,-3,tf,976,3817,pca32,0.7924063205718994
xp2,3,-3,tf,1040,3738,pca32,0.7883752584457397
xp2,1,-2,tf,1058,3707,pca32,0.7878392934799194
xp2,2,-2,tf,983,3827,pca32,0.7925044298171997
xp2,3,-2,tf,1043,3752,pca32,0.7884137630462646
xp2,1,-1,tf,1060,3722,pca32,0.7882341742515564
xp2,2,-1,tf,990,3837,pca32,0.7927262187004089
xp2,3,-1,tf,1046,3766,pca32,0.7887675762176514
xp2,1,0,tf,1062,3737,pca32,0.7883014678955078
xp2,2,0,tf,997,3847,pca32,0.7927678823471069
xp2,3,0,tf,1049,3780,pca32,0.7887860536575317
xp2,1,1,tf,1060,3722,pca32,0.7883449196815491
xp2,2,1,tf,990,3837,pca32,0.7928200960159302
xp2,3,1,tf,1046,3766,pca32,0.7887066006660461
xp2,1,2,tf,1058,3707,pca32,0.7881796360015869
xp2,2,2,tf,983,3827,pca32,0.7927454113960266
xp2,3,2,tf,1043,3752,pca32,0.7883868217468262
xp2,1,3,tf,1056,3692,pca32,0.7882535457611084
xp2,2,3,tf,976,3817,pca32,0.7926193475723267
xp2,3,3,tf,1040,3738,pca32,0.7882174253463745
xp2,1,4,tf,1054,3677,pca32,0.7884472608566284
xp2,2,4,tf,969,3807,pca32,0.7926474809646606
xp2,3,4,tf,1037,3724,pca32,0.7884730100631714
xp2,1,5,tf,1052,3662,pca32,0.7887790203094482
xp2,2,5,tf,962,3797,pca32,0.7927170395851135
xp2,3,5,tf,1034,3710,pca32,0.7888163924217224
xp2,1,6,tf,1050,3647,pca32,0.7888066172599792
xp2,2,6,tf,955,3787,pca32,0.7926322817802429
xp2,3,6,tf,1031,3696,pca32,0.7887979745864868
xp2,1,7,tf,1048,3632,pca32,0.7887918949127197
xp2,2,7,tf,948,3777,pca32,0.7927424311637878
xp2,3,7,tf,1028,3682,pca32,0.7890099287033081
xp2,1,8,tf,1046,3617,pca32,0.7886176705360413
xp2,2,8,tf,941,3767,pca32,0.7928200960159302
xp2,3,8,tf,1025,3668,pca32,0.7889886498451233
sleep,1,-8,tf,2112,5586,pca32,0.8912025690078735
sleep,2,-8,tf,2112,5631,pca32,0.8898983001708984
sleep,3,-8,tf,2112,5586,pca32,0.8929967284202576
sleep,1,-7,tf,2112,5586,pca32,0.8911925554275513
sleep,2,-7,tf,2112,5631,pca32,0.889880895614624
sleep,3,-7,tf,2112,5586,pca32,0.8929817080497742
sleep,1,-6,tf,2112,5586,pca32,0.8912007808685303
sleep,2,-6,tf,2112,5631,pca32,0.889894425868988
sleep,3,-6,tf,2112,5586,pca32,0.8929996490478516
sleep,1,-5,tf,2112,5586,pca32,0.8912354707717896
sleep,2,-5,tf,2112,5631,pca32,0.8899326324462891
sleep,3,-5,tf,2112,5586,pca32,0.8930398225784302
sleep,1,-4,tf,2112,5586,pca32,0.8912484645843506
sleep,2,-4,tf,2112,5631,pca32,0.889952540397644
sleep,3,-4,tf,2112,5586,pca32,0.8930627107620239
sleep,1,-3,tf,2112,5586,pca32,0.8912421464920044
sleep,2,-3,tf,2112,5631,pca32,0.8899401426315308
sleep,3,-3,tf,2112,5586,pca32,0.8930575251579285
sleep,1,-2,tf,2112,5586,pca32,0.8912503123283386
sleep,2,-2,tf,2112,5631,pca32,0.8899461627006531
sleep,3,-2,tf,2112,5586,pca32,0.8930613398551941
sleep,1,-1,tf,2112,5586,pca32,0.891232430934906
sleep,2,-1,tf,2112,5631,pca32,0.8899116516113281
sleep,3,-1,tf,2112,5586,pca32,0.8930373191833496
sleep,1,0,tf,2112,5586,pca32,0.8912290334701538
sleep,2,0,tf,2112,5631,pca32,0.8898979425430298
sleep,3,0,tf,2112,5586,pca32,0.8930227756500244
sleep,1,1,tf,2112,5586,pca32,0.8911837339401245
sleep,2,1,tf,2112,5631,pca32,0.8898922801017761
sleep,3,1,tf,2112,5586,pca32,0.89317786693573
sleep,1,2,tf,2112,5586,pca32,0.8912439346313477
sleep,2,2,tf,2112,5631,pca32,0.8900306820869446
sleep,3,2,tf,2112,5586,pca32,0.8933796286582947
