fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name,mode,lag
1,real_eeg_ridge,Z,11625,5376,32,16,0.0375559864405659,0.038961537182331085,0.06235111585308283,0.06967035681009293,-0.07856791987156453,0.009300595238095238,0.031436011904761904,0.034221722722809524,113.0,0.5452920751633987,0.06056457674710355,affective,tf,-8
1,shifted_null_ridge,Z,11625,5376,32,16,-0.00305479040616774,-0.004491119529120624,0.008661305720391425,0.005777036305516958,-0.09126563368260587,0.00390625,0.01711309523809524,0.023359690820010076,127.0,0.5005281279178339,0.0015965719292484293,affective,tf,-8
1,time_only_ridge,Z,11625,5376,32,16,0.00631313754911389,0.007220893399789929,0.004223316978065365,0.013692033011466265,-8.030073266218629e-05,0.002976190476190476,0.017857142857142856,0.023483879220891537,125.0,0.5077866042250233,0.006391873656365667,affective,tf,-8
1,time_residual_eeg_ridge,Z_time_resid,11625,5376,32,16,0.037214810043224134,0.0383815448731184,0.06011274893274904,0.06756307557225227,-0.07898232802270688,0.009486607142857142,0.03366815476190476,0.034534612076453725,112.0,0.5446552579365079,0.05964000816420271,affective,tf,-8
1,time_residual_shifted_null,Z_time_resid,11625,5376,32,16,-0.001579231780851842,-0.0010923469380941242,-0.010396840516487973,-0.008728050161153078,-0.10085478740853793,0.0026041666666666665,0.020647321428571428,0.023369041784246498,131.0,0.4953373015873016,-0.00835467601676492,affective,tf,-8
2,real_eeg_ridge,Z,11655,5376,32,16,0.03009002446924569,0.026250836439430714,0.04848678952243106,0.05402285419404507,-0.07376737926584442,0.00744047619047619,0.03125,0.03204476692354948,114.0,0.538578139589169,0.04883782728379472,affective,tf,-8
2,shifted_null_ridge,Z,11655,5376,32,16,0.00042888239840976894,-0.001956550171598792,-0.006904082113984649,-0.0049288340378552675,-0.09686944604866521,0.0027901785714285715,0.017857142857142856,0.022506920262615727,129.0,0.49742027019140994,-0.005297470442753173,affective,tf,-8
2,time_only_ridge,Z,11655,5376,32,16,0.006184253432820697,0.0046325623989105225,0.0016052719520443489,-0.006990148685872555,-2.7094510666181293e-06,0.004092261904761905,0.020647321428571428,0.024990137536780692,129.0,0.5026362628384687,0.001308187072976331,affective,tf,-8
2,time_residual_eeg_ridge,Z_time_resid,11655,5376,32,16,0.0299711394472979,0.025988664478063583,0.04730048391712942,0.0520063191652298,-0.07390824372487903,0.007626488095238095,0.030133928571428572,0.031640315687451216,115.0,0.5374708216619981,0.0477218328526755,affective,tf,-8
2,time_residual_shifted_null,Z_time_resid,11655,5376,32,16,0.0058366379716972006,0.005061193602159619,-0.002384740364867693,-0.010080712847411633,-0.10062697691609634,0.004836309523809524,0.019903273809523808,0.02444472223544626,130.0,0.49865050186741366,-0.0035368712768479808,affective,tf,-8
3,real_eeg_ridge,Z,11520,5376,32,16,0.03509577589284163,0.031053127720952034,0.0682668776873194,0.07069394737482071,-0.05038432959513228,0.006138392857142857,0.029203869047619048,0.030920209554679896,110.0,0.5492851307189542,0.07022200381870991,affective,tf,-8
3,shifted_null_ridge,Z,11520,5376,32,16,-0.006504625387606211,-0.006732282694429159,0.005391051981813381,0.007868321146816015,-0.09066181973132337,0.0026041666666666665,0.01804315476190476,0.022699095852164283,126.5,0.50359258286648,0.005226484945375242,affective,tf,-8
3,time_only_ridge,Z,11520,5376,32,16,0.005462260951162534,0.0056748653296381235,0.007125263277116357,0.005895812064409256,-0.0002405823203754931,0.0027901785714285715,0.018229166666666668,0.02343595920113463,125.0,0.5068397671568627,0.008245059937644813,affective,tf,-8
3,time_residual_eeg_ridge,Z_time_resid,11520,5376,32,16,0.03483254807360936,0.0301451338455081,0.06642428648964464,0.06762464717030525,-0.050701138096198584,0.005766369047619048,0.028273809523809524,0.030594109777230767,111.0,0.548203343837535,0.06793141910192317,affective,tf,-8
3,time_residual_shifted_null,Z_time_resid,11520,5376,32,16,0.0009308357523423183,0.000852953817229718,-0.0014107820084524022,-0.004478783463127911,-0.09680449641838118,0.00427827380952381,0.01878720238095238,0.0238532109952605,130.0,0.4986322654061625,-0.0005924843074629422,affective,tf,-8
1,real_eeg_ridge,Z,11625,5376,32,16,0.04851982971013058,0.0511806420981884,0.07774413562984114,0.08773330226540565,-0.07000757804725422,0.00744047619047619,0.033854166666666664,0.03371679073887393,109.0,0.557375554388422,0.07582343086997227,affective,tf,-7
1,shifted_null_ridge,Z,11625,5376,32,16,-0.005238972733422997,-0.004348638700321317,0.011202401299807244,0.013273735996335745,-0.08974009708401365,0.004464285714285714,0.019903273809523808,0.02466373929936038,127.0,0.5035429796918768,0.004944865603068186,affective,tf,-7
1,time_only_ridge,Z,11625,5376,32,16,0.0062663070511916885,0.007203276036307216,0.0038590217559816764,0.014282055664807558,-7.73779528604468e-05,0.0033482142857142855,0.017671130952380952,0.02341941320212946,125.5,0.5081123074229692,0.006470868065323666,affective,tf,-7
1,time_residual_eeg_ridge,Z_time_resid,11625,5376,32,16,0.048187760963628534,0.05096587538719177,0.07362271092414796,0.08619514480233192,-0.0704296979941037,0.00744047619047619,0.03311011904761905,0.03386861280030082,109.0,0.5558035714285714,0.07318880192705286,affective,tf,-7
1,time_residual_shifted_null,Z_time_resid,11625,5376,32,16,-0.0013912285157857696,-0.0008872770995367318,-0.010477402165933757,-0.006429280154407024,-0.09873298487642046,0.002418154761904762,0.018601190476190476,0.022357771874292165,130.0,0.49586725315126046,-0.009329132717673551,affective,tf,-7
2,real_eeg_ridge,Z,11655,5376,32,16,0.039464175933972,0.03212520945817232,0.056584733656017135,0.06208178773522377,-0.06935448908229502,0.006510416666666667,0.029575892857142856,0.0316472440989828,114.0,0.5420912114845938,0.05707772622266925,affective,tf,-7
