dataset_name,mode,heldout_fold,selected_lag,selection_resid_minus_shifted,heldout_residual_rank_pct,heldout_residual_shifted_rank_pct,heldout_residual_minus_shifted,heldout_residual_diag_minus_offdiag
affective,tf,1,-4,0.07232945261437912,0.5624737394957984,0.4886510854341737,0.07382265406162469,0.0830700440578342
affective,tf,2,-4,0.07411808473389356,0.5581422152194212,0.4878968253968254,0.07024538982259582,0.0731559043678754
affective,tf,3,-4,0.07203402194211025,0.5690695028011203,0.4946559873949579,0.07441351540616242,0.09512842266424566
experience,tf,1,-4,0.048971822115731894,0.5313292483824148,0.48616966566935976,0.045159582713055035,0.049318396217583
experience,tf,2,-4,0.04532764383794835,0.5495652492358651,0.497117309967243,0.052447939268622124,0.05942595049463456
experience,tf,3,-4,0.04880376099083858,0.5331748426786668,0.4876791377158251,0.045495704962841665,0.03652432433303871
sleep,tf,1,-1,0.028067129629629622,0.5128291847041847,0.5027882996632996,0.010040885040885072,0.029488282083413024
sleep,tf,2,-8,0.0302616943241944,0.541148088023088,0.5125360750360751,0.02861201298701288,0.05742303689134344
sleep,tf,3,-8,0.03537608225108227,0.5159632034632035,0.4975799663299663,0.01838323713323714,0.02627472381159549
xp2,tf,1,5,0.04296504722036637,0.5458657734323134,0.5017140442995955,0.04415172913271781,0.052153925275243186
xp2,tf,2,3,0.0565266416995141,0.5255150979122029,0.5142864755482475,0.011228622363955387,0.026604127010820725
xp2,tf,3,7,0.037703721455044525,0.5511326993319574,0.5046566208904459,0.04647607844151147,0.05644262953813832
